Net Status Report
Filename     : D:\1_AltiumProject\29_DAL_OBC\SpaceLiinTech_BEE_DAL_OBC_HW\01_DESIGN\DAL_OBC_V10.PcbDoc
Date         : 7/21/2026
Time         : 10:23:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    SENSE3_N, Signal Layers Only, 5.6895mm
    SENSE3_P, Signal Layers Only, 5.762mm
    SENSE4_N, Signal Layers Only, 0mm
    SENSE4_P, Signal Layers Only, 0mm
    SENSE_3.3V/5V_N, Signal Layers Only, 0mm
    SENSE_3.3V/5V_P, Signal Layers Only, 0mm
    SENSE_3.3V_N, Signal Layers Only, 0mm
    SENSE_3.3V_P, Signal Layers Only, 0mm
    SENSE_5V_FPGA_N, Signal Layers Only, 0mm
    SENSE_5V_FPGA_P, Signal Layers Only, 0mm
    SENSE_5V_SAMA7_N, Signal Layers Only, 0mm
    SENSE_5V_SAMA7_P, Signal Layers Only, 0mm
    SHDN, Signal Layers Only, 66.4305mm
    SOM_EMMC_nRST, Signal Layers Only, 0mm
    SOM_RS422_DE, Signal Layers Only, 2.4611mm
    SOM_RS422_R\E\, Signal Layers Only, 1.4598mm
    SOM_SDMMC0_CD_PA14, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_CK, Signal Layers Only, 1.5672mm
    SOM_SDMMC0_OUT_CMD, Signal Layers Only, 3.1754mm
    SOM_SDMMC0_OUT_D0, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_D1, Signal Layers Only, 4.6581mm
    SOM_SDMMC0_OUT_D2, Signal Layers Only, 0.3066mm
    SOM_SDMMC0_OUT_D3, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_D4, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_D5, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_D6, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_D7, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_DS, Signal Layers Only, 0mm
    SOM_STATUS_LED_1, Signal Layers Only, 0mm
    SOM_STATUS_LED_2, Signal Layers Only, 0mm
    SOM_STATUS_LED_3, Signal Layers Only, 0mm
    SOM_USER_BUTTON_PA12, Signal Layers Only, 0mm
    TCK_SWCLK_PC26, Signal Layers Only, 1.9927mm
    TDI_PC28, Signal Layers Only, 2.6479mm
    TDO_PC29, Signal Layers Only, 4.0518mm
    TMS_SWDIO_PC27, Signal Layers Only, 3.2665mm
    USB_1_PWR_EN, Signal Layers Only, 0mm
    USB_1_PWR_nFAIL, Signal Layers Only, 0mm
    USB_2_PWR_EN, Signal Layers Only, 0mm
    USB_2_PWR_nFAIL, Signal Layers Only, 0mm
    USB_CONN_LED_1, Signal Layers Only, 0mm
    USB_CONN_LED_2, Signal Layers Only, 0mm
    USB_PWR1, Signal Layers Only, 0mm
    USB_PWR2, Signal Layers Only, 0mm
    VCCADC, Signal Layers Only, 0mm
    VDDANA, Signal Layers Only, 0mm
    VDDCORE, Signal Layers Only, 0mm
    VDDCPU, Signal Layers Only, 0mm
    VDDIODDR, Signal Layers Only, 0mm
    VDD_1V15_OUT3, Signal Layers Only, 0mm
    VDD_1V15_OUT4, Signal Layers Only, 0mm
